STATION,DATE,TMAX,TMIN,AWND,PRCP
USW00013810,4/3/2019,66,36,2.91,0
USW00013810,4/4/2019,72,50,8.28,0.06
USW00013810,4/5/2019,61,52,3.8,0.19
USW00013810,4/6/2019,70,53,3.36,0
USW00013810,4/7/2019,69,54,7.61,0.73
USW00013810,4/8/2019,72,59,6.04,0.01
USW00013810,4/9/2019,71,50,4.92,0
USW00013810,4/10/2019,74,43,4.25,0
USW00013810,4/11/2019,81,53,12.08,0
USW00013810,4/12/2019,75,51,12.75,0.07
USW00013810,4/13/2019,69,43,4.47,0.06
USW00013810,4/14/2019,76,40,14.99,1.5
USW00013810,4/15/2019,56,37,6.71,0
USW00013810,4/16/2019,77,42,9.62,0
USW00013810,4/17/2019,77,54,9.62,0
USW00013810,4/18/2019,76,53,12.75,0.22
USW00013810,4/19/2019,53,43,10.29,1.99
USW00013810,4/20/2019,44,38,5.82,1.03
USW00013810,4/21/2019,72,37,1.12,0
USW00013810,4/22/2019,78,42,5.37,0
USW00013810,4/23/2019,79,54,8.5,0.28
USW00013810,4/24/2019,76,53,4.7,0.4
USW00013810,4/25/2019,75,60,6.71,0.82
USW00013810,4/26/2019,66,49,12.75,0.29
USW00013810,4/27/2019,64,43,5.82,0.02
USW00013810,4/28/2019,65,46,8.95,0.08
USW00013810,4/29/2019,80,42,6.49,0
USW00013810,4/30/2019,83,59,6.93,0
USW00013810,5/1/2019,82,64,10.96,0.09
USW00013810,5/2/2019,78,60,4.92,0.26
USW00013810,5/3/2019,75,63,4.7,1.23
USW00013810,5/4/2019,68,57,5.82,0.2
USW00013810,5/5/2019,72,52,5.37,0.01
USW00013810,5/6/2019,78,47,2.68,0
USW00013810,5/7/2019,80,53,1.79,0
USW00013810,5/8/2019,86,56,8.05,0
USW00013810,5/9/2019,77,65,12.08,0
USW00013810,5/10/2019,68,54,5.82,0.01
USW00013810,5/11/2019,71,51,5.82,0.29
USW00013810,5/12/2019,59,50,5.37,0.06
USW00013810,5/13/2019,59,50,6.71,0
USW00013810,5/14/2019,71,44,1.12,0
USW00013810,5/15/2019,70,49,3.36,0
USW00013810,5/16/2019,81,51,5.59,0.14
USW00013810,5/17/2019,88,62,7.61,0
USW00013810,5/18/2019,89,63,7.38,0
USW00013810,5/19/2019,78,65,11.41,0.43
USW00013810,5/20/2019,76,58,7.16,0
USW00013810,5/21/2019,76,54,11.41,0
USW00013810,5/22/2019,83,66,7.61,0.01
USW00013810,5/23/2019,89,72,7.83,0.12
USW00013810,5/24/2019,90,70,5.82,0
USW00013810,5/25/2019,89,70,9.4,0
USW00013810,5/26/2019,87,67,4.92,0.85
USW00013810,5/27/2019,87,66,6.71,0
USW00013810,5/28/2019,88,74,10.51,0
USW00013810,5/29/2019,80,68,7.83,0.94
USW00013810,5/30/2019,77,66,5.82,0.28
USW00013810,5/31/2019,78,64,5.14,0.01
USW00013810,6/1/2019,82,59,4.25,0
USW00013810,6/2/2019,84,65,7.16,0
USW00013810,6/3/2019,78,51,2.68,0
USW00013810,6/4/2019,83,56,6.26,0
USW00013810,6/5/2019,88,68,8.72,0.6
USW00013810,6/6/2019,84,65,3.8,0.18
USW00013810,6/7/2019,76,70,10.07,0.37
USW00013810,6/8/2019,83,70,10.51,0.67
USW00013810,6/9/2019,81,70,5.37,1.92
USW00013810,6/10/2019,79,61,6.26,0.01
USW00013810,6/11/2019,77,52,4.7,0
USW00013810,6/12/2019,77,54,5.82,0
USW00013810,6/13/2019,71,53,11.18,0
USW00013810,6/14/2019,78,48,6.26,0
USW00013810,6/15/2019,83,66,12.3,0
USW00013810,6/16/2019,88,68,8.5,1.89
USW00013810,6/17/2019,85,68,6.49,0.64
USW00013810,6/18/2019,83,71,4.47,0.34
USW00013810,6/19/2019,88,70,5.82,0.12
USW00013810,6/20/2019,78,68,10.07,0
USW00013810,6/21/2019,83,60,4.47,0.45
USW00013810,6/22/2019,80,66,5.14,0.37
USW00013810,6/23/2019,88,65,6.93,0.34
USW00013810,6/24/2019,79,69,8.05,0.7
USW00013810,6/25/2019,85,64,5.14,0
USW00013810,6/26/2019,90,67,5.59,0
USW00013810,6/27/2019,90,70,5.59,0
USW00013810,6/28/2019,92,67,3.8,0
USW00013810,6/29/2019,93,70,2.46,0
USW00013810,6/30/2019,92,71,5.82,0.22
USW00013810,7/1/2019,91,68,3.8,0.15
USW00013810,7/2/2019,93,72,4.92,0
USW00013810,7/3/2019,88,72,5.14,0.61
USW00013810,7/4/2019,90,69,4.92,0
USW00013810,7/5/2019,92,73,5.37,0
USW00013810,7/6/2019,88,76,5.82,0
USW00013810,7/7/2019,92,74,3.36,0
USW00013810,7/8/2019,89,73,6.49,0
USW00013810,7/9/2019,91,69,1.79,0
USW00013810,7/10/2019,92,72,3.36,0.55
USW00013810,7/11/2019,91,75,4.7,0
USW00013810,7/12/2019,88,67,4.03,0
USW00013810,7/13/2019,92,62,2.01,0
USW00013810,7/14/2019,91,71,5.82,0
USW00013810,7/15/2019,89,73,4.92,0
USW00013810,7/16/2019,92,76,11.86,0.03
USW00013810,7/17/2019,91,75,8.72,0.1
USW00013810,7/18/2019,94,75,6.93,0.25
USW00013810,7/19/2019,94,77,7.61,0
USW00013810,7/20/2019,95,76,5.14,0
USW00013810,7/21/2019,93,74,7.61,0.19
USW00013810,7/22/2019,82,69,5.59,0.04
USW00013810,7/23/2019,82,63,6.04,0
USW00013810,7/24/2019,82,62,5.14,0
USW00013810,7/25/2019,85,59,1.57,0
USW00013810,7/26/2019,88,62,2.68,0
USW00013810,7/27/2019,91,66,5.37,0
USW00013810,7/28/2019,91,67,5.59,0
USW00013810,7/29/2019,91,71,8.72,0.89
USW00013810,7/30/2019,88,70,6.04,0
USW00013810,7/31/2019,88,67,2.91,0
USW00013810,8/1/2019,89,67,3.58,0
USW00013810,8/2/2019,89,69,4.7,0
USW00013810,8/3/2019,91,67,3.36,0
USW00013810,8/4/2019,91,69,2.91,0
USW00013810,8/5/2019,91,64,1.79,0
USW00013810,8/6/2019,91,68,6.49,0
USW00013810,8/7/2019,88,69,5.14,0.11
USW00013810,8/8/2019,90,67,5.37,0
USW00013810,8/9/2019,92,71,4.7,0
USW00013810,8/10/2019,88,64,5.59,0
USW00013810,8/11/2019,91,61,2.46,0
USW00013810,8/12/2019,89,70,4.7,0
USW00013810,8/13/2019,88,73,6.93,0.28
USW00013810,8/14/2019,91,71,5.59,0
USW00013810,8/15/2019,88,68,3.8,0
USW00013810,8/16/2019,90,65,3.36,0
USW00013810,8/17/2019,92,69,4.25,0.22
USW00013810,8/18/2019,95,72,6.49,0
USW00013810,8/19/2019,97,71,3.58,0.03
USW00013810,8/20/2019,97,72,6.49,0.02
USW00013810,8/21/2019,92,69,5.37,0
USW00013810,8/22/2019,86,71,4.92,0.62
USW00013810,8/23/2019,76,66,6.26,0.14
USW00013810,8/24/2019,82,59,8.95,0
USW00013810,8/25/2019,84,63,6.71,0
USW00013810,8/26/2019,76,71,9.62,1.16
USW00013810,8/27/2019,84,69,6.49,0.24
USW00013810,8/28/2019,82,62,4.25,0
USW00013810,8/29/2019,85,58,5.14,0
USW00013810,8/30/2019,89,66,5.37,0
USW00013810,8/31/2019,88,70,4.03,0
USW00013810,9/1/2019,91,67,3.8,0
USW00013810,9/2/2019,87,68,3.36,0
USW00013810,9/3/2019,90,64,3.58,0
USW00013810,9/4/2019,91,69,4.7,0
USW00013810,9/5/2019,82,62,4.92,0
USW00013810,9/6/2019,89,58,5.82,0
USW00013810,9/7/2019,78,60,3.8,0
USW00013810,9/8/2019,82,57,2.01,0
USW00013810,9/9/2019,92,62,2.24,0
USW00013810,9/10/2019,98,66,4.03,0
USW00013810,9/11/2019,95,76,3.8,0
USW00013810,9/12/2019,96,71,2.68,0
USW00013810,9/13/2019,96,72,5.82,0
USW00013810,9/14/2019,84,63,4.47,0
USW00013810,9/15/2019,92,56,1.79,0
USW00013810,9/16/2019,95,67,3.13,0.05
USW00013810,9/17/2019,90,69,6.04,0
USW00013810,9/18/2019,90,65,5.82,0
USW00013810,9/19/2019,92,63,5.37,0
USW00013810,9/20/2019,90,71,7.38,0.14
USW00013810,9/21/2019,91,69,5.82,0
USW00013810,9/22/2019,91,63,8.72,0
USW00013810,9/23/2019,87,62,8.28,0.02
USW00013810,9/24/2019,81,53,1.12,0
USW00013810,9/25/2019,89,54,6.04,0
USW00013810,9/26/2019,82,57,4.25,0
USW00013810,9/27/2019,94,54,6.26,0
USW00013810,9/28/2019,95,71,5.82,0
USW00013810,9/29/2019,95,71,3.58,0
USW00013810,9/30/2019,97,69,2.91,0
USW00013810,10/1/2019,96,70,3.58,0
USW00013810,10/2/2019,96,69,5.59,0
USW00013810,10/3/2019,96,69,6.71,0
USW00013810,10/4/2019,76,60,8.05,0
USW00013810,10/5/2019,84,53,4.47,0.01
USW00013810,10/6/2019,78,58,6.49,1.32
USW00013810,10/7/2019,67,50,2.91,0.18
USW00013810,10/8/2019,74,47,5.82,0
USW00013810,10/9/2019,65,47,3.58,0
USW00013810,10/10/2019,83,51,4.03,0
USW00013810,10/11/2019,75,47,7.83,0.33
USW00013810,10/12/2019,58,38,4.03,0
USW00013810,10/13/2019,70,37,4.92,0
USW00013810,10/14/2019,71,43,2.46,0
USW00013810,10/15/2019,77,40,5.59,0.43
USW00013810,10/16/2019,65,47,10.07,0.18
USW00013810,10/17/2019,62,36,2.91,0
USW00013810,10/18/2019,65,37,2.68,0
USW00013810,10/19/2019,74,38,4.25,0
USW00013810,10/20/2019,75,58,4.7,0
USW00013810,10/21/2019,75,58,11.86,0.02
USW00013810,10/22/2019,65,48,10.74,0
USW00013810,10/23/2019,67,40,6.93,0
USW00013810,10/24/2019,72,43,4.03,0
USW00013810,10/25/2019,61,50,3.13,0
USW00013810,10/26/2019,68,54,10.96,1.25
USW00013810,10/27/2019,67,47,6.71,0
USW00013810,10/28/2019,69,41,2.91,0
USW00013810,10/29/2019,62,48,2.68,0
USW00013810,10/30/2019,61,54,4.47,1.02
USW00013810,10/31/2019,59,35,11.86,0.74
USW00013810,11/1/2019,49,28,3.58,0
USW00013810,11/2/2019,56,30,5.37,0
USW00013810,11/3/2019,56,31,3.8,0
USW00013810,11/4/2019,63,33,7.38,0
USW00013810,11/5/2019,54,36,3.58,0.06
USW00013810,11/6/2019,58,30,2.68,0.06
USW00013810,11/7/2019,51,32,5.37,0.61
USW00013810,11/8/2019,39,25,3.58,0
USW00013810,11/9/2019,51,24,6.04,0
USW00013810,11/10/2019,66,38,7.61,0
USW00013810,11/11/2019,61,30,9.17,0.19
USW00013810,11/12/2019,30,18,8.05,0
USW00013810,11/13/2019,36,14,4.7,0
USW00013810,11/14/2019,49,25,4.25,0
USW00013810,11/15/2019,44,25,3.13,0
USW00013810,11/16/2019,50,29,5.82,0
USW00013810,11/17/2019,49,26,0.89,0
USW00013810,11/18/2019,46,35,2.46,0
USW00013810,11/19/2019,47,37,3.58,0.14
USW00013810,11/20/2019,49,41,3.58,0
USW00013810,11/21/2019,61,42,9.4,0.01
USW00013810,11/22/2019,57,38,6.26,0.47
USW00013810,11/23/2019,44,35,6.26,0.24
USW00013810,11/24/2019,51,34,8.5,0
USW00013810,11/25/2019,63,36,8.05,0
USW00013810,11/26/2019,58,43,7.61,0.51
USW00013810,11/27/2019,63,40,16.78,0.41
USW00013810,11/28/2019,42,37,6.26,0
USW00013810,11/29/2019,46,40,4.25,0
USW00013810,11/30/2019,60,40,6.71,2.46
USW00013810,12/1/2019,63,38,14.09,0
USW00013810,12/2/2019,38,35,10.96,0.03
USW00013810,12/3/2019,43,33,8.28,0
USW00013810,12/4/2019,54,36,10.29,0
USW00013810,12/5/2019,57,30,2.91,0
USW00013810,12/6/2019,53,39,5.82,0.06
USW00013810,12/7/2019,50,27,5.82,0
USW00013810,12/8/2019,61,30,6.71,0
USW00013810,12/9/2019,62,52,14.09,0.17
USW00013810,12/10/2019,56,26,10.07,0.01
USW00013810,12/11/2019,42,20,4.92,0
USW00013810,12/12/2019,50,24,4.47,0
USW00013810,12/13/2019,49,37,4.92,0.38
USW00013810,12/14/2019,46,39,6.93,0.18
USW00013810,12/15/2019,39,32,6.71,0.1
USW00013810,12/16/2019,39,36,6.26,1.06
USW00013810,12/17/2019,40,28,8.05,0.03
USW00013810,12/18/2019,30,24,6.49,0
USW00013810,12/19/2019,43,19,4.25,0
USW00013810,12/20/2019,50,24,2.01,0
USW00013810,12/21/2019,53,28,1.79,0
USW00013810,12/22/2019,54,28,2.01,0
USW00013810,12/23/2019,64,31,3.58,0
USW00013810,12/24/2019,64,30,0.67,0
USW00013810,12/25/2019,69,30,3.8,0
USW00013810,12/26/2019,65,48,6.93,0
USW00013810,12/27/2019,63,53,3.8,0
USW00013810,12/28/2019,63,51,6.26,0.01
USW00013810,12/29/2019,64,56,8.28,1.46
USW00013810,12/30/2019,57,39,14.54,0.1
USW00013810,12/31/2019,40,38,13.87,0
